review_id,user_id,restaurant_id,dish_id,rating,content,image_path
1,1,2,15,5,"A fiery explosion of flavor! The chili oil and sesame create the perfect balance.",
2,1,4,32,5,"Perfectly nutty and just the right amount of tangy sweetness—this is comfort food at its best!",
3,1,4,33,5,"Spicy, saucy, and packed with fresh basil, this is how noodles should be done.",
4,1,4,34,5,"The coconut milk gives it a rich and creamy texture, while the roasted peanuts add the perfect crunch.",
5,1,5,38,5,"A beautiful blend of smoky, creamy, and tomato-rich flavors. Absolutely divine!",
6,1,5,40,5,"A variety of textures and spices, each bite more exciting than the last!",
7,1,5,44,4,"Tender and bursting with spice, but could use a little more char on the edges.",
8,1,5,45,4,"Rich and flavorful, with saffron shining through every bite!",
9,1,6,52,4,"The slow-braised oxtail is packed with deep, meaty goodness.",
10,1,8,70,4,"Warm, comforting, and packed with flavor—great for a chilly day.",
11,2,2,13,5,"The broth is deep and rich, exactly what I want from a comforting bowl of noodles.",
12,2,4,28,5,"A solid mix of flavors—each bite is a new adventure into Thai cuisine.",
13,2,4,32,5,"A good balance of sweetness and tang, though the peanuts really bring it together.",
14,2,4,34,5,"Creamy with a gentle heat that lingers just enough to keep things interesting.",
15,2,5,38,5,"Velvety and flavorful, the tomato-based sauce is addictive.",
16,2,5,40,5,"A great selection—crisp, spiced, and packed with depth.",
17,2,5,44,5,"Juicy and tender, though it could use a little more char for extra smokiness.",
18,2,5,45,4,"The saffron adds a delicate touch, but I wish the shrimp had a bit more seasoning.",
19,2,6,52,4,"Rich and slow-cooked, but a bit heavy. Good for a filling meal.",
20,2,8,70,4,"Tasty and full of depth, but not quite as bold as I expected.",
21,3,1,3,5,"Fresh and vibrant. The seafood is cooked beautifully without overpowering the natural flavors.",
22,3,1,5,5,"A well-balanced dish with just the right amount of creaminess to let the vegetables shine.",
23,3,1,10,5,"Lightly crispy with a good tartness. I appreciate the balance.",
24,3,3,25,5,"A fresh, delicate combination that doesn't overwhelm the palate.",
25,3,8,74,5,"Bright citrus notes paired with sweet shrimp—definitely a dish I'd return for.",
26,3,9,83,5,"A clean, comforting broth with tender chicken and well-cooked noodles.",
27,3,9,84,4,"Good texture, but a little more seasoning on the avocado would have made it shine.",
28,3,9,89,4,"A satisfying and hearty sandwich, though I would've liked more balance in the flavors.",
29,3,10,93,4,"Rich and earthy, though slightly thicker than I expected.",
30,3,10,94,4,"A refreshing mix, though a bit more feta would have made it perfect.",
31,4,2,11,5,"Sweet, salty, and a little spicy—exactly how wings should be.",
32,4,2,12,5,"The peanut sauce is deeply nutty and rich, complementing the smoky chicken perfectly.",
33,4,2,14,5,"Garlicky, buttery, and indulgent—simple but fantastic.",
34,4,2,15,5,"Szechuan heat that doesn't overpower the flavor, just how I like it.",
35,4,4,33,5,"Big flavors with just the right level of spice—it hits every craving.",
36,4,5,38,5,"Creamy and heavily spiced, but never overwhelming.",
37,4,5,44,5,"Smoky, tender, and packed with layered flavors.",
38,4,6,49,4,"The wings are good, but some flavors are stronger than others.",
39,4,8,78,4,"Juicy and flavorful, though I prefer a little more char on my meat.",
40,4,10,99,4,"Nice balance of seasoning and sauce, but I'd like a little more heat.",
41,5,1,5,5,"Simple, rich, and satisfying—a great go-to pasta dish.",
42,5,1,9,5,"Crisp, fresh greens with tender chicken make for a well-balanced meal.",
43,5,1,10,5,"Crispy coating with that tangy bite inside—just like homemade!",
44,5,3,25,5,"Refreshing, but still filling. The flavors work beautifully together.",
45,5,8,76,5,"Crispy, cheesy, and perfectly melted.",
46,5,9,88,5,"Creamy chicken salad with just the right crunch from the toast.",
47,5,9,89,5,"A hearty sandwich that feels homemade in the best way possible.",
48,5,10,90,4,"Nicely grilled veggies, though I wish they had a touch more seasoning.",
49,5,10,93,4,"Comforting and earthy, but could use a bit more spice.",
50,5,10,94,4,"A bright and refreshing dish—simple but enjoyable.",
51,6,3,26,5,"A creative sushi roll that balances sweet and spicy flavors well.",
52,6,3,27,5,"Apple in sushi? Surprisingly, it works! A refreshing twist.",
53,6,4,37,5,"Chewy noodles in a sweet-savory sauce—solid choice.",
54,6,5,41,5,"Aromatic and satisfying with deep, rich spices.",
55,6,5,42,5,"Creamy spinach with soft paneer—an incredible combo.",
56,6,5,47,5,"A vibrant vegetable dish that keeps each ingredient tasting fresh.",
57,6,6,51,5,"A creamy, spicy pasta that adds a unique Caribbean flair.",
58,6,8,79,4,"Rich and cheesy, though I'd love a little more filling inside.",
59,6,9,81,4,"A hearty, balanced dish, though it leans slightly heavy on the beans.",
60,6,9,82,4,"Great textures and flavors, but I wish the portion was a bit larger.",
61,7,3,21,5,"A visually stunning roll with a subtle sweetness from the apple—unexpected but delicious.",
62,7,3,23,5,"The mango sauce gives this roll a refreshing, tropical vibe. A must-try!",
63,7,3,26,5,"A balance of creamy, spicy, and crispy textures that make every bite exciting.",
64,7,3,27,5,"The apple puree is an unexpected twist that somehow works beautifully with the fish.",
65,7,4,32,5,"A classic done right—just the right amount of nuttiness and tangy lime.",
66,7,5,47,4,"Vibrant and colorful with plenty of fresh veggies—great for a light meal.",
67,7,6,51,4,"The jerk seasoning adds a smoky spice that really makes this pasta stand out.",
68,7,8,78,4,"A solid taco with well-seasoned pork, though I wish there was more pineapple flavor.",
69,7,9,81,4,"A protein-packed bowl with a great mix of flavors, though it could use a little more crunch.",
70,7,9,82,4,"A fun, colorful bowl with lots of variety. Great for a light but satisfying meal.",
71,8,3,23,5,"A reminder that great sushi doesn't have to be complicated. Fresh fish, clean flavors, a touch of sweetness. No fluff, just solid execution.",
72,8,3,27,5,"Apple and fish shouldn't work, but here we are. The sweet crunch actually brings out the richness. A small, beautiful moment of culinary rebellion.",
73,8,4,34,5,"Thai food at its best—deep, earthy, just spicy enough to keep you on your toes. Eat it with a cold beer in the heat of Bangkok and life is complete.",
74,8,5,45,5,"Rich, saffron-infused flavors that actually taste like something. If you can't appreciate this, I don't trust your palate.",
75,8,5,47,5,"Vegetables cooked properly are a rare sight. This dish actually respects them—bright, well-spiced, and not murdered into mush.",
76,8,6,51,5,"A fusion dish that works. Creamy jerk sauce and pasta? You wouldn't think it'd be good, but it is. Someone in the kitchen gives a damn.",
77,8,6,52,4,"Great flavors, but a little heavy. You'll want a nap after eating this, but at least you'll be happy.",
78,8,7,65,4,"A dish that borders on dessert but somehow stays in the right lane. Good, if you're into that kind of thing.",
79,8,8,70,4,"This is the real deal. If you don't like tripe, don't order it. If you do, prepare to be comforted.",
80,8,8,77,4,"Crispy, whole fish cooked well. Respect the bones, squeeze the lime, and don't be afraid to use your hands.",
81,9,2,11,5,"Finally, a wing that delivers! Perfectly crispy, beautifully coated, and packed with bold, rich flavors. No complaints.",
82,9,3,27,5,"Who would've thought? The apple adds a lovely, crisp sweetness, balancing the richness of the fish. Stunning.",
83,9,4,28,5,"A proper selection of Thai flavors. Bold, aromatic, and well-spiced—no weak links on this plate!",
84,9,4,32,5,"A textbook Pad Thai—sweet, tangy, and full of texture. Whoever made this actually knows what they're doing.",
85,9,5,41,5,"Perfectly cooked rice, well-balanced spices, and layers of flavor in every bite. This is how you respect an ingredient!",
86,9,5,45,4,"Rich, fragrant, and well-marinated. Could use a touch more seasoning to really bring out the saffron, but still solid.",
87,9,5,47,4,"Vibrant, fresh, and cooked just right. Not mind-blowing, but miles better than the overcooked vegetable disasters I've seen elsewhere.",
88,9,6,51,4,"Creamy, spicy, and full of attitude—just the right kind of chaos. Maybe a little heavy, but at least it's got personality.",
89,9,8,70,4,"A strong, deep broth with great warmth. Could use a little refining, but I'd still take this over half the nonsense people call 'comfort food.'",
90,9,8,75,4,"Crisp chips, great toppings—but don't drown it in sauce! No one wants a soggy mess on their plate.",
91,10,1,5,5,"A lovely, creamy pasta dish! The vegetables add a wonderful brightness—it's simply delightful!",
92,10,1,10,5,"Crisp, golden, and just tangy enough. A classic done well—how marvelous!",
93,10,2,13,5,"Rich, deeply comforting broth. One of those dishes that makes you want to sit by the stove and sip slowly—just wonderful!",
94,10,3,25,5,"Light and fresh, but still satisfying. A perfect little treat on a warm day!",
95,10,4,31,5,"Oh, how lovely! Perfectly cooked fish with crisp skin and a bright, zesty finish. A triumph!",
96,10,5,41,5,"Fragrant, spiced beautifully, and utterly delicious. There's something magical about a dish like this!",
97,10,9,89,4,"A hearty little sandwich! Could use a tad more sauce, but it's still quite nice.",
98,10,10,90,4,"Grilled just right, with a touch of char that gives them a delightful smokiness!",
